,Video Name,Thumbnail URL,Video ID,length,description snippet,date published
59,Venetian rice and peas — 'risi e bisi',https://i.ytimg.com/vi/Um-Kxv-eToM/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCZGYWZYCq3gHAMSd6SgmCkN1s_WQ,Um-Kxv-eToM,"7 minutes, 1 second","Thanks to Ritual for sponsoring this video! Click here https://ritual.com/adam20 and use code ADAM20 to get 20% off your first month with Ritual. #ritualpartner

*These statements have not...",2022-11-28 13:32:39.233961
60,What even are beans? Are they vegetables? Why aren't they grains?,https://i.ytimg.com/vi/TZ6V3Wf4d0A/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAcq7aOoUuAhY9nA8cfTBnwZTl2tQ,TZ6V3Wf4d0A,"12 minutes, 56 seconds","Thanks to Squarespace for sponsoring this video! Go to Squarespace.com for a free trial, and when you’re ready to launch, go to http://squarespace.com/ragusea and add code “RAGUSEA"" at...",2022-11-28 13:32:39.233961
61,Ask Adam: Is diet soda bad? Why do Westerners use forks? Adam's 'explaining' voice? (PODCAST E16),https://i.ytimg.com/vi/RsgDuyXnfps/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBrI96bHZINohd1oq4nkKsXVv1BIA,RsgDuyXnfps,"57 minutes, 14 seconds","Thanks to Surfshark for sponsoring this episode! Get Surfshark VPN at https://Surfshark.deals/adamragusea — Enter promo code ADAMRAGUSEA for 83% off + 3 extra months for free!

Thanks to...",2022-11-27 13:32:39.233961
62,White & dark chocolate mousse — no raw eggs,https://i.ytimg.com/vi/lR8nisZUXWM/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCGzywJusWwIMDSGBiybz4DbBLfhg,lR8nisZUXWM,"8 minutes, 58 seconds","Thank you #Noom for sponsoring today’s video! Go to https://noom.com/ragusea and take your free 30-second quiz.

My preview video about how a little fat will mess up egg foams: https://youtu.be/9...",2022-11-27 13:32:39.233961
63,You really can't whip egg whites with yolk in them?,https://i.ytimg.com/vi/9_zECyLC0Wk/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDc90b2splAa7am65bTNSXU7892pw,9_zECyLC0Wk,"13 minutes, 29 seconds","Thanks Allform for sponsoring this video! Click https://www.allform.com/adamragusea for 20% off the sofa of your choice! We chose a whiskey leather 3-seater with a chaise. #Allform 

Dr. Guang...",2022-11-27 13:32:39.233961
64,Ask Adam: Is breakfast important? Salad AFTER dinner? Future of fake meat? (PODCAST E15),https://i.ytimg.com/vi/hbKjua9LbTs/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDW8F5v2D4u6x6CsAC2dSw8ha3QUA,hbKjua9LbTs,"56 minutes, 29 seconds",Thanks to Indeed for sponsoring this episode! Start hiring NOW with a $75 sponsored job credit to upgrade your job post at http://indeed.com/RAGUSEA. Offer good for a limited time. Terms and...,2022-11-27 13:32:39.233961
65,"Traditional ragù alla bolognese, with fresh egg tagliatelle",https://i.ytimg.com/vi/VnYpoTM9ihc/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDYpHxfUYVddSbPelGEq-Hro4SWog,VnYpoTM9ihc,"11 minutes, 54 seconds","Thanks to Magic Spoon for sponsoring this video! Use my code RAGUSEA to get $5 off your delicious, healthy Magic Spoon cereal: https://magicspoon.thld.co/ragusea_0622

My old, non-traditional...",2022-11-27 13:32:39.233961
66,The source of licorice/liquorice/anise flavor,https://i.ytimg.com/vi/AIfyZx6hOCk/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBDbSkbJukMfkUD2hKjss9TyXGYkQ,AIfyZx6hOCk,"9 minutes, 25 seconds","Thanks to Native for sponsoring this video! Save 33% on your first Native Plastic-Free Deodorant Pack — normally $39, you’ll get it for $26! Use my code RAGUSEA3 here: https://bit.ly/nativeragu...",2022-11-27 13:32:39.233961
67,"The actual science of the ""industrial seed oil"" panic (PODCAST E14)",https://i.ytimg.com/vi/efTBLsv4yYs/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBYp_p0PO9NAmj2rQlJis-KmLfSSw,efTBLsv4yYs,"1 hour, 15 minutes, 41 seconds","Thanks to Tippsy Sake for sponsoring this episode! Use code ADAM 10％ off all products, and code ADAM30 for $30 off your first Sake Box:  https://www.tippsysake.com/discount/ADAM

This episode...",2022-11-27 13:32:39.233961
68,Fire beans (BRINGING SEXY BEANS E1),https://i.ytimg.com/vi/cqfbcskdiCE/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDpE1kp2R053K5OU_kvznOUzx-HyA,cqfbcskdiCE,"8 minutes, 4 seconds","Thanks to Squarespace for sponsoring this video! Go to Squarespace.com for a free trial, and when you’re ready to launch, go to http://squarespace.com/ragusea and add code “RAGUSEA"" at...",2022-11-27 13:32:39.233961
